raceId,name,date,time_x,driverId,driverRef,code,constructorId,constructorRef,grid,position,positionOrder,points,time_y,milliseconds,fastestLapTime,fastestLapSpeed,statusId,status,year,prev_date,prev_time,quali_date,relative_position,positionGain,prev_position,fastestSpeedGain,relative_fastestLapSpeed,positionChange,weighted_avg_compound_sentiment,pos_tweets_sum,neg_tweets_sum,total_tweets,avg_compound_sentiment,pos_tweets_perc,neg_tweets_perc,neut_tweets_perc,neut_tweets_sum,pos_tweets_ratio,neg_tweets_ratio
1069,United States Grand Prix,2021-10-24,19:00:00,822,bottas,BOT,131,mercedes,9,6,6,8.0,+1:20.128,01:35:56.680000,00:01:40.147000,198.176,1,Finished,2021,2021-10-10,12:00:00,2021-10-23,-0.45454545454545414,-5.0,1.0,-14.324000000000012,-17.783909090909106,-3,0.08599226383626352,208.0,50.0,982.0,0.12599796334012223,21.181262729124235,5.091649694501018,73.72708757637476,724.0,0.8062015503875969,0.1937984496124031
1070,Mexico City Grand Prix,2021-11-07,19:00:00,822,bottas,BOT,131,mercedes,1,15,15,0.0,,,00:01:17.774000,199.223,12,+2 Laps,2021,2021-10-24,19:00:00,2021-11-06,-9.454545454545453,-9.0,6.0,1.0470000000000255,-13.97690909090909,14,0.244802678266041,494.0,74.0,1875.0,0.20290224,26.346666666666668,3.9466666666666668,69.70666666666666,1307.0,0.8697183098591549,0.13028169014084506
1071,São Paulo Grand Prix,2021-11-14,17:00:00,822,bottas,BOT,131,mercedes,1,3,3,15.0,+13.576,01:32:36.427000,00:01:12.526000,213.887,1,Finished,2021,2021-11-07,19:00:00,2021-11-12,2.545454545454546,12.0,15.0,14.663999999999987,,2,0.16533407189154686,757.0,272.0,3212.0,0.11926229763387297,23.567870485678704,8.468244084682441,67.96388542963886,2183.0,0.7356656948493683,0.26433430515063167
1051,Qatar Grand Prix,2021-11-21,14:00:00,822,bottas,BOT,131,mercedes,6,,20,0.0,,,00:01:27.246000,221.992,137,Damage,2021,2021-11-14,17:00:00,2021-11-20,-14.454545454545453,-17.0,3.0,8.10499999999999,5.6220909090909,14,0.2012866782006442,546.0,198.0,2857.0,0.10929296464823242,19.11095554777739,6.930346517325867,73.95869793489673,2113.0,0.7338709677419355,0.2661290322580645
1072,Saudi Arabian Grand Prix,2021-12-05,17:30:00,822,bottas,BOT,131,mercedes,2,3,3,15.0,+27.531,02:06:42.649000,00:01:31.408000,243.155,1,Finished,2021,2021-11-21,14:00:00,2021-12-04,2.545454545454546,17.0,20.0,21.16300000000001,-3.821909090909088,1,0.1991119048506974,325.0,191.0,2082.0,0.05113746397694524,15.609990393852065,9.173871277617675,75.21613832853026,1566.0,0.6298449612403101,0.3701550387596899
1073,Abu Dhabi Grand Prix,2021-12-12,13:00:00,822,bottas,BOT,131,mercedes,6,6,6,8.0,+7.463,01:30:24.808000,00:01:26.862000,218.871,1,Finished,2021,2021-12-05,17:30:00,2021-12-11,-0.45454545454545414,-3.0,3.0,-24.283999999999992,-28.86390909090909,0,0.16336536607776436,656.0,241.0,2913.0,0.1281501544799176,22.519739100583593,8.273257809818057,69.20700308959835,2016.0,0.7313266443701226,0.2686733556298774
1074,Bahrain Grand Prix,2022-03-20,15:00:00,822,bottas,BOT,51,alfa,6,6,6,8.0,+16.119,01:37:49.703000,00:01:36.599000,201.691,1,Finished,2022,2021-12-12,13:00:00,2022-03-19,-1.4000000000000004,0.0,6.0,-17.180000000000007,26.31961538461539,0,0.16031775105422216,544.0,144.0,2014.0,0.1678863455809335,27.010923535253227,7.149950347567031,65.83912611717975,1326.0,0.7906976744186046,0.20930232558139536
1075,Saudi Arabian Grand Prix,2022-03-27,17:00:00,822,bottas,BOT,51,alfa,8,,15,0.0,,,00:01:33.979000,236.503,141,Cooling system,2022,2022-03-20,15:00:00,2022-03-26,-10.4,-9.0,6.0,34.81199999999998,,7,,,,,,,,,,,
1076,Australian Grand Prix,2022-04-10,05:00:00,822,bottas,BOT,51,alfa,12,8,8,4.0,+1:08.439,01:28:54.987000,00:01:21.651000,232.707,1,Finished,2022,2022-03-27,17:00:00,2022-04-09,-3.4000000000000004,7.0,15.0,-3.7959999999999923,,-4,-0.2554352483772124,54.0,23.0,250.0,0.1075268,21.6,9.2,69.2,173.0,0.7012987012987013,0.2987012987012987
1077,Emilia Romagna Grand Prix,2022-04-24,13:00:00,822,bottas,BOT,51,alfa,7,5,5,10.0,+43.181,01:32:51.167000,00:01:20.758000,218.831,1,Finished,2022,2022-04-10,05:00:00,2022-04-22,-0.40000000000000036,3.0,8.0,-13.876000000000005,-2.8063846153846157,-2,0.022406292521816473,33.0,18.0,327.0,0.06049266055045871,10.091743119266056,5.504587155963303,84.40366972477064,276.0,0.6470588235294118,0.35294117647058826
